23:07:02.115 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
23:07:02.161 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
23:07:02.164 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
23:07:02.165 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.62]
23:07:02.759 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext
23:07:02.760 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 8026 ms
23:07:04.131 [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[127.0.0.1:27017], srvHost=cluster0.utdrjwh.mongodb.net, mode=MULTIPLE, requiredClusterType=REPLICA_SET, serverSelectionTimeout='30000 ms', requiredReplicaSetName='atlas-7gbxcv-shard-0'}
23:07:04.466 [cluster-ClusterId{value='693da4404f08c90a2916e656', description='null'}-srv-cluster0.utdrjwh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017 to client view of cluster
23:07:04.611 [cluster-ClusterId{value='693da4404f08c90a2916e656', description='null'}-srv-cluster0.utdrjwh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-lpvisih-shard-00-02.utdrjwh.mongodb.net:27017 to client view of cluster
23:07:04.622 [cluster-ClusterId{value='693da4404f08c90a2916e656', description='null'}-srv-cluster0.utdrjwh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-lpvisih-shard-00-00.utdrjwh.mongodb.net:27017 to client view of cluster
23:07:05.246 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@6750e381 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-lpvisih-shard-00-02.utdrjwh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-lpvisih-shard-00-00.utdrjwh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
