19:02:38.602 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.deepu.repository.UserRepositoryImplTest], using SpringBootContextLoader
19:02:38.625 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.deepu.repository.UserRepositoryImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
19:02:38.626 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.deepu.repository.UserRepositoryImplTest]: UserRepositoryImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
19:02:38.890 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.deepu.JournalApplication for test class com.deepu.repository.UserRepositoryImplTest
19:02:39.047 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
19:02:39.069 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2c9399a4, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@191ae03f, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@9635fa, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@53ab0286, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@63c5efee, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2d10e0b1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1c98290c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@172ca72b, org.springframework.test.context.event.EventPublishingTestExecutionListener@5bda80bf, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@71e5f61d, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2ce86164, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5e8f9e2d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@51df223b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@fd46303, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@60d8c0dc]
19:02:39.523 [main] INFO  c.d.r.UserRepositoryImplTest - Starting UserRepositoryImplTest using Java 11.0.29 on DESKTOP-T69M0QC with PID 12764 (started by Deepak in C:\Users\Deepak\Downloads\journalApp\journalApp)
19:02:39.524 [main] INFO  c.d.r.UserRepositoryImplTest - No active profile set, falling back to 1 default profile: "default"
19:02:40.670 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
19:02:40.774 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 95 ms. Found 3 MongoDB repository interfaces.
19:02:41.746 [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms'}
19:02:41.863 [cluster-ClusterId{value='692eea797d382262fe6d966e', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:32}] to localhost:27017
19:02:41.867 [cluster-ClusterId{value='692eea797d382262fe6d966e', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=27, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=33974800}
19:02:41.867 [cluster-rtt-ClusterId{value='692eea797d382262fe6d966e', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:31}] to localhost:27017
19:02:42.593 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:33}] to localhost:27017
19:02:43.448 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6ee37ca7, org.springframework.security.web.context.SecurityContextPersistenceFilter@1cba0321, org.springframework.security.web.header.HeaderWriterFilter@7574d4ad, org.springframework.security.web.authentication.logout.LogoutFilter@464aeb09, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@474e34e4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3a45afd4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3e0a9b1d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6775c0d1, org.springframework.security.web.session.SessionManagementFilter@2dcd0e41, org.springframework.security.web.access.ExceptionTranslationFilter@5b44318, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@64c25a62]
19:02:45.409 [main] INFO  c.d.r.UserRepositoryImplTest - Started UserRepositoryImplTest in 6.28 seconds (JVM running for 8.154)
