17:28:07.771 [main] INFO  com.deepu.JournalApplication - Starting JournalApplication using Java 11.0.29 on DESKTOP-T69M0QC with PID 10940 (C:\Users\Deepak\Downloads\journalApp\journalApp\target\classes started by Deepak in C:\Users\Deepak\Downloads\journalApp\journalApp)
17:28:07.792 [main] INFO  com.deepu.JournalApplication - The following 1 profile is active: "prod"
17:28:10.118 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
17:28:10.125 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
17:28:10.626 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 474 ms. Found 3 MongoDB repository interfaces.
17:28:10.695 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
17:28:10.712 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
17:28:10.759 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.deepu.repository.ConfigJournalAppRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
17:28:10.760 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.deepu.repository.JournalEntryRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
17:28:10.770 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.deepu.repository.UserRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
17:28:10.771 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32 ms. Found 0 Redis repository interfaces.
17:28:12.761 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
17:28:12.786 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
17:28:12.788 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
17:28:12.789 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.62]
17:28:13.118 [main] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext
17:28:13.119 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5149 ms
17:28:13.713 [main] INFO  org.mongodb.driver.cluster - Cluster created with settings {hosts=[127.0.0.1:27017], srvHost=cluster0.utdrjwh.mongodb.net, mode=MULTIPLE, requiredClusterType=REPLICA_SET, serverSelectionTimeout='30000 ms', requiredReplicaSetName='atlas-7gbxcv-shard-0'}
17:28:13.999 [cluster-ClusterId{value='69317755d4a5907442f83dde', description='null'}-srv-cluster0.utdrjwh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017 to client view of cluster
17:28:14.144 [cluster-ClusterId{value='69317755d4a5907442f83dde', description='null'}-srv-cluster0.utdrjwh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-lpvisih-shard-00-02.utdrjwh.mongodb.net:27017 to client view of cluster
17:28:14.145 [cluster-ClusterId{value='69317755d4a5907442f83dde', description='null'}-srv-cluster0.utdrjwh.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-lpvisih-shard-00-00.utdrjwh.mongodb.net:27017 to client view of cluster
17:28:14.817 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@4703c998 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-lpvisih-shard-00-02.utdrjwh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-lpvisih-shard-00-00.utdrjwh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
17:28:15.534 [cluster-rtt-ClusterId{value='69317755d4a5907442f83dde', description='null'}-ac-lpvisih-shard-00-00.utdrjwh.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:402601}] to ac-lpvisih-shard-00-00.utdrjwh.mongodb.net:27017
17:28:15.534 [cluster-ClusterId{value='69317755d4a5907442f83dde', description='null'}-ac-lpvisih-shard-00-00.utdrjwh.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:402598}] to ac-lpvisih-shard-00-00.utdrjwh.mongodb.net:27017
17:28:15.534 [cluster-ClusterId{value='69317755d4a5907442f83dde', description='null'}-ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:456556}] to ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017
17:28:15.534 [cluster-ClusterId{value='69317755d4a5907442f83dde', description='null'}-ac-lpvisih-shard-00-02.utdrjwh.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:387220}] to ac-lpvisih-shard-00-02.utdrjwh.mongodb.net:27017
17:28:15.536 [cluster-ClusterId{value='69317755d4a5907442f83dde', description='null'}-ac-lpvisih-shard-00-02.utdrjwh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-lpvisih-shard-00-02.utdrjwh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=570126300, setName='atlas-7gbxcv-shard-0', canonicalAddress=ac-lpvisih-shard-00-02.utdrjwh.mongodb.net:27017, hosts=[ac-lpvisih-shard-00-02.utdrjwh.mongodb.net:27017, ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017, ac-lpvisih-shard-00-00.utdrjwh.mongodb.net:27017], passives=[], arbiters=[], primary='ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=34, topologyVersion=TopologyVersion{processId=691dd649af7cf731a7224581, counter=3}, lastWriteDate=Thu Dec 04 17:28:16 IST 2025, lastUpdateTimeNanos=5249949574600}
17:28:15.536 [cluster-ClusterId{value='69317755d4a5907442f83dde', description='null'}-ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=570647300, setName='atlas-7gbxcv-shard-0', canonicalAddress=ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017, hosts=[ac-lpvisih-shard-00-02.utdrjwh.mongodb.net:27017, ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017, ac-lpvisih-shard-00-00.utdrjwh.mongodb.net:27017], passives=[], arbiters=[], primary='ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000004b, setVersion=34, topologyVersion=TopologyVersion{processId=691dd3972ce3e3b0c183bd25, counter=6}, lastWriteDate=Thu Dec 04 17:28:16 IST 2025, lastUpdateTimeNanos=5249950056900}
17:28:15.534 [cluster-rtt-ClusterId{value='69317755d4a5907442f83dde', description='null'}-ac-lpvisih-shard-00-02.utdrjwh.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:387220}] to ac-lpvisih-shard-00-02.utdrjwh.mongodb.net:27017
17:28:15.534 [cluster-rtt-ClusterId{value='69317755d4a5907442f83dde', description='null'}-ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:456556}] to ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017
17:28:15.536 [cluster-ClusterId{value='69317755d4a5907442f83dde', description='null'}-ac-lpvisih-shard-00-00.utdrjwh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-lpvisih-shard-00-00.utdrjwh.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=571814200, setName='atlas-7gbxcv-shard-0', canonicalAddress=ac-lpvisih-shard-00-00.utdrjwh.mongodb.net:27017, hosts=[ac-lpvisih-shard-00-02.utdrjwh.mongodb.net:27017, ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017, ac-lpvisih-shard-00-00.utdrjwh.mongodb.net:27017], passives=[], arbiters=[], primary='ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=34, topologyVersion=TopologyVersion{processId=691dd1178f40a42c172e6f35, counter=4}, lastWriteDate=Thu Dec 04 17:28:16 IST 2025, lastUpdateTimeNanos=5249951213500}
17:28:15.542 [cluster-ClusterId{value='69317755d4a5907442f83dde', description='null'}-ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff000000000000004b from replica set primary ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017
17:28:15.542 [cluster-ClusterId{value='69317755d4a5907442f83dde', description='null'}-ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 34 from replica set primary ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017
17:28:15.543 [cluster-ClusterId{value='69317755d4a5907442f83dde', description='null'}-ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017
17:28:16.107 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:456579}] to ac-lpvisih-shard-00-01.utdrjwh.mongodb.net:27017
